inclusion_exclusion	contains_novel_or_only_known_junctions	as_event_type	gene_name	gene_coordinates	strand	W1D2.S24_wtdmso_b1	W1D3.S32_wtdmso_b1	W2D2.S22_wtdmso_b1	W2D3.S30_wtdmso_b1	M1D2.S28_mtdmso_b1	M1D3.S36_mtdmso_b1	M2D2.S26_mtdmso_b1	lr	padj	dpsi
inclusion	K	alternative_acceptor	ABCB7	chrX:75114835-75156104	-	0.235483351093873	0.235483351093873	0.235483351093873	0.235483351093873	0.250588474804375	0.250588474804375	0.250588474804375	0.0583164416136697	1	1.5105123710502042
inclusion	K	alternative_acceptor	ABCE1	chr4:145098420-145104385	+	0.801920957470858	0.801920957470858	0.801920957470858	0.801920957470858	0.774497203601446	0.774497203601446	0.774497203601446	0.351533582662341	1	-2.7423753869412053
inclusion	K	alternative_acceptor	ABI2	chr2:203328632-203366876	+	0.943791814487118	0.943791814487118	0.943791814487118	0.943791814487118	0.884404639959903	0.884404639959903	0.884404639959903	2.48787486546871	1	-5.938717452721505
inclusion	K	alternative_acceptor	ABI2	chr2:203394847-203395655	+	0.756868194160309	0.756868194160309	0.756868194160309	0.756868194160309	0.829150804786524	0.829150804786524	0.829150804786524	1.83413921366355	1	7.228261062621499
inclusion	K	alternative_acceptor	AC004241.1	chr12:47719273-47719599	+	0.172456186419403	0.172456186419403	0.172456186419403	0.172456186419403	0.273507930983709	0.273507930983709	0.273507930983709	1.50570566254504	1	10.1051744564306
inclusion	K	alternative_acceptor	AC005258.1	chr19:2339209-2339823	+	0.638651203771996	0.638651203771996	0.638651203771996	0.638651203771996	0.739523132119993	0.739523132119993	0.739523132119993	1.49474835585556	1	10.087192834799694
inclusion	K	alternative_acceptor	AC005258.1	chr19:2340173-2340897	+	0.901726793353216	0.901726793353216	0.901726793353216	0.901726793353216	0.771820648125578	0.771820648125578	0.771820648125578	3.04347246330519	1	-12.990614522763806
inclusion	K	alternative_acceptor	AC005520.3	chr14:73904111-73904901	+	0.972085741605151	0.972085741605151	0.972085741605151	0.972085741605151	0.927990435165062	0.927990435165062	0.927990435165062	3.43582541312662	1	-4.409530644008896
inclusion	K	alternative_acceptor	AC005670.2	chr17:46923222-46929519	+	0.966726969272416	0.966726969272416	0.966726969272416	0.966726969272416	0.941123374602508	0.941123374602508	0.941123374602508	0.589492103631073	1	-2.5603594669908034
inclusion	K	alternative_acceptor	AC008878.2	chr19:7534240-7534378	+	0.87018623253799	0.87018623253799	0.87018623253799	0.87018623253799	0.746543565903244	0.746543565903244	0.746543565903244	0.980287134408286	1	-12.364266663474595
inclusion	K	alternative_acceptor	AC011462.1	chr19:41423170-41424437	+	0.959103907193488	0.959103907193488	0.959103907193488	0.959103907193488	0.954758188044	0.954758188044	0.954758188044	0.0897919988710782	1	-0.43457191494879055
inclusion	K	alternative_acceptor	AC011511.1	chr19:10310643-10310852	-	0.923228029426496	0.923228029426496	0.923228029426496	0.923228029426496	0.857776646742671	0.857776646742671	0.857776646742671	5.55538699007411	1	-6.545138268382502
inclusion	K	alternative_acceptor	AC022966.1	chr17:78797903-78798399	-	0.364787918963207	0.364787918963207	0.364787918963207	0.364787918963207	0.226058123751263	0.226058123751263	0.226058123751263	5.503077994862	1	-13.872979521194402
inclusion	K	alternative_acceptor	AC068580.4	chr11:1753671-1753802	-	0.984202740487683	0.984202740487683	0.984202740487683	0.984202740487683	0.987584321447124	0.987584321447124	0.987584321447124	0.0945921095553786	1	0.3381580959441095
inclusion	K	alternative_acceptor	AC068580.4	chr11:1753902-1753993	-	0.993141835882339	0.993141835882339	0.993141835882339	0.993141835882339	0.990292517041564	0.990292517041564	0.990292517041564	0.290539775167417	1	-0.28493188407750836
inclusion	K	alternative_acceptor	AC068580.4	chr11:1759640-1761308	-	0.99158498889091	0.99158498889091	0.99158498889091	0.99158498889091	0.993339034844929	0.993339034844929	0.993339034844929	0.133586311028921	1	0.17540459540191478
inclusion	K	alternative_acceptor	AC078927.1	chr12:66153449-66169854	-	0.943345916423245	0.943345916423245	0.943345916423245	0.943345916423245	0.989966523632017	0.989966523632017	0.989966523632017	4.60655183708241	1	4.662060720877207
inclusion	K	alternative_acceptor	AC097634.4	chr3:70977723-70977827	-	0.511865472364356	0.511865472364356	0.511865472364356	0.511865472364356	0.486128286699339	0.486128286699339	0.486128286699339	0.126364546431205	1	-2.5737185665017037
inclusion	K	alternative_acceptor	AC109460.3	chr16:28975101-28975183	+	0.843446410917457	0.843446410917457	0.843446410917457	0.843446410917457	0.867330875457337	0.867330875457337	0.867330875457337	0.30102075929608	1	2.3884464539879957
inclusion	K	alternative_acceptor	AC244153.1	chr17:38451526-38451625	-	0.252015537496652	0.252015537496652	0.252015537496652	0.252015537496652	0.300499805985019	0.300499805985019	0.300499805985019	0.568369907878605	1	4.848426848836702
